dataset,method,config,seed,selected_seed,seed_pool,base_vehicles,base_distance,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C101,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1140.400240,10,828.936867,True,0,75.601429,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C102,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",10,1182.824466,10,828.936867,True,0,75.679069,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C103,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",10,1138.887690,10,828.064882,True,0,75.809804,10,828.06,0,0.000590,True,SINTEF VRPTW 100 customers
C104,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",10,1221.235856,10,837.889945,True,0,75.919059,10,824.78,0,1.589508,True,SINTEF VRPTW 100 customers
C105,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1227.598589,10,828.936867,True,0,75.563519,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C106,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1313.949239,10,828.936867,True,0,75.571663,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C107,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1247.360024,10,828.936867,True,0,75.562292,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C108,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1269.958648,10,828.936867,True,0,75.615001,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C109,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",10,1126.125424,10,828.936867,True,0,75.821178,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C201,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",3,705.487174,3,591.556557,True,0,75.498113,3,591.56,0,-0.000582,True,SINTEF VRPTW 100 customers
C202,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,822.055616,3,763.217156,True,0,75.680479,3,591.56,0,29.017708,True,SINTEF VRPTW 100 customers
C203,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",4,1132.775187,3,612.570187,True,0,75.879328,3,591.17,0,3.619972,True,SINTEF VRPTW 100 customers
C204,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",4,1066.620161,3,683.615506,True,0,76.290575,3,590.60,0,15.749324,True,SINTEF VRPTW 100 customers
C205,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",4,1003.286550,3,683.447099,True,0,75.589905,3,588.88,0,16.058806,True,SINTEF VRPTW 100 customers
C206,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",4,948.544027,3,647.971716,True,0,75.730563,3,588.49,0,10.107515,True,SINTEF VRPTW 100 customers
C207,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",4,979.629568,3,588.286321,True,0,75.641245,3,588.29,0,-0.000625,True,SINTEF VRPTW 100 customers
C208,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",4,1182.865631,3,588.323801,True,0,75.637955,3,588.32,0,0.000646,True,SINTEF VRPTW 100 customers
R101,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",22,2280.853437,19,1665.702696,True,0,75.713663,19,1650.80,0,0.902756,True,SINTEF VRPTW 100 customers
R102,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",19,2094.211757,17,1501.491463,True,0,75.738906,17,1486.12,0,1.034335,True,SINTEF VRPTW 100 customers
R103,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",15,1759.109060,14,1219.608960,True,0,75.846350,13,1292.68,1,-5.652678,False,SINTEF VRPTW 100 customers
R104,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1309.459627,10,997.922605,True,0,75.814444,9,1007.31,1,-0.931927,False,SINTEF VRPTW 100 customers
R105,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",16,1792.180047,15,1389.124864,True,0,75.626853,14,1377.11,1,0.872469,False,SINTEF VRPTW 100 customers
R106,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",16,1813.982227,12,1313.091640,True,0,75.704431,12,1252.03,0,4.877011,True,SINTEF VRPTW 100 customers
R107,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",12,1475.273984,11,1104.285086,True,0,75.731832,10,1104.66,1,-0.033939,False,SINTEF VRPTW 100 customers
R108,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1289.043558,10,986.828053,True,0,75.892633,9,960.88,1,2.700447,False,SINTEF VRPTW 100 customers
R109,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",14,1637.297674,12,1169.003592,True,0,75.692603,11,1194.73,1,-2.153324,False,SINTEF VRPTW 100 customers
R110,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",13,1494.187489,11,1118.204503,True,0,75.729742,10,1118.84,1,-0.056800,False,SINTEF VRPTW 100 customers
R111,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",13,1407.583771,11,1115.182666,True,0,75.709241,10,1096.73,1,1.682517,False,SINTEF VRPTW 100 customers
R112,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",12,1362.872370,10,1021.453953,True,0,75.819580,9,982.14,1,4.002887,False,SINTEF VRPTW 100 customers
R201,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",4,1626.496773,4,1281.909173,True,0,75.708143,4,1252.37,0,2.358662,True,SINTEF VRPTW 100 customers
R202,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",4,1607.225656,4,1121.595557,True,0,75.866940,3,1191.70,1,-5.882726,False,SINTEF VRPTW 100 customers
R203,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",3,1499.050937,3,964.017683,True,0,76.060756,3,939.50,0,2.609652,True,SINTEF VRPTW 100 customers
R204,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",3,1352.183948,3,817.984681,True,0,76.811741,2,825.52,1,-0.912797,False,SINTEF VRPTW 100 customers
R205,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",4,1525.157842,3,1060.774432,True,0,75.745810,3,994.43,0,6.671604,True,SINTEF VRPTW 100 customers
R206,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1413.989145,3,1003.056085,True,0,76.022702,3,906.14,0,10.695487,True,SINTEF VRPTW 100 customers
R207,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1292.631274,3,882.501318,True,0,76.249093,2,890.61,1,-0.910464,False,SINTEF VRPTW 100 customers
R208,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",3,1108.453356,2,779.606049,True,0,76.775424,2,726.82,0,7.262603,True,SINTEF VRPTW 100 customers
R209,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",3,1384.763681,3,948.501903,True,0,75.971531,3,909.16,0,4.327280,True,SINTEF VRPTW 100 customers
R210,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1421.496143,3,1031.248060,True,0,75.818898,3,939.37,0,9.780817,True,SINTEF VRPTW 100 customers
R211,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1292.848628,3,845.126803,True,0,76.460476,2,885.71,1,-4.581996,False,SINTEF VRPTW 100 customers
RC101,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",18,2332.412676,15,1689.885807,True,0,75.672519,14,1696.95,1,-0.416288,False,SINTEF VRPTW 100 customers
RC102,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",17,2270.359671,14,1527.086376,True,0,75.731327,12,1554.75,2,-1.779297,False,SINTEF VRPTW 100 customers
RC103,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",14,2004.112658,12,1335.219989,True,0,75.685065,11,1261.67,1,5.829574,False,SINTEF VRPTW 100 customers
RC104,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",13,1711.234097,10,1146.250268,True,0,75.824753,10,1135.48,0,0.948521,True,SINTEF VRPTW 100 customers
RC105,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",18,2354.596514,14,1597.258102,True,0,75.636830,13,1629.44,1,-1.975028,False,SINTEF VRPTW 100 customers
RC106,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",16,2134.704888,13,1483.497075,True,0,75.895095,11,1424.73,2,4.124787,False,SINTEF VRPTW 100 customers
RC107,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",14,1773.770527,12,1326.206687,True,0,75.664668,11,1230.48,1,7.779622,False,SINTEF VRPTW 100 customers
RC108,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",13,1747.159868,11,1201.783106,True,0,75.762219,10,1139.82,1,5.436219,False,SINTEF VRPTW 100 customers
RC201,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",5,2181.225772,4,1522.245076,True,0,75.570152,4,1406.94,0,8.195451,True,SINTEF VRPTW 100 customers
RC202,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",5,2030.006042,4,1281.175328,True,0,75.870871,3,1365.65,1,-6.185675,False,SINTEF VRPTW 100 customers
RC203,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1702.631334,3,1078.821424,True,0,75.947015,3,1049.62,0,2.782095,True,SINTEF VRPTW 100 customers
RC204,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1243.260961,3,892.884375,True,0,76.459581,3,798.46,0,11.825812,True,SINTEF VRPTW 100 customers
RC205,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",5,2159.620220,4,1385.696469,True,0,75.662757,4,1297.65,0,6.785071,True,SINTEF VRPTW 100 customers
RC206,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",4,1923.084254,4,1147.650449,True,0,75.815121,3,1146.32,1,0.116063,False,SINTEF VRPTW 100 customers
RC207,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",4,1876.854240,4,1051.962109,True,0,75.891337,3,1061.14,1,-0.864909,False,SINTEF VRPTW 100 customers
RC208,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1390.439219,3,881.120622,True,0,76.350974,3,828.14,0,6.397544,True,SINTEF VRPTW 100 customers
