dataset,method,time_limit,status,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C101,ortools_routing,30,1,10,828.936867,True,0,30.007186,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C102,ortools_routing,30,1,10,828.936867,True,0,30.007512,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C103,ortools_routing,30,1,10,910.405335,True,0,30.020937,10,828.06,0,9.944368,True,SINTEF VRPTW 100 customers
C104,ortools_routing,30,1,10,901.777161,True,0,30.006309,10,824.78,0,9.335479,True,SINTEF VRPTW 100 customers
C105,ortools_routing,30,1,10,828.936867,True,0,30.007216,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C106,ortools_routing,30,1,10,828.936867,True,0,30.005261,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C107,ortools_routing,30,1,10,894.778382,True,0,30.005928,10,828.94,0,7.942479,True,SINTEF VRPTW 100 customers
C108,ortools_routing,30,1,10,828.936867,True,0,30.031591,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C109,ortools_routing,30,1,10,854.782980,True,0,30.001944,10,828.94,0,3.117594,True,SINTEF VRPTW 100 customers
C201,ortools_routing,30,1,3,591.556557,True,0,30.002692,3,591.56,0,-0.000582,True,SINTEF VRPTW 100 customers
C202,ortools_routing,30,1,3,591.556557,True,0,30.002070,3,591.56,0,-0.000582,True,SINTEF VRPTW 100 customers
C203,ortools_routing,30,1,3,591.173443,True,0,30.002409,3,591.17,0,0.000582,True,SINTEF VRPTW 100 customers
C204,ortools_routing,30,1,3,593.933997,True,0,30.002960,3,590.60,0,0.564510,True,SINTEF VRPTW 100 customers
C205,ortools_routing,30,1,3,588.875963,True,0,30.002059,3,588.88,0,-0.000686,True,SINTEF VRPTW 100 customers
C206,ortools_routing,30,1,3,588.492849,True,0,30.002367,3,588.49,0,0.000484,True,SINTEF VRPTW 100 customers
C207,ortools_routing,30,1,3,588.286321,True,0,30.003467,3,588.29,0,-0.000625,True,SINTEF VRPTW 100 customers
C208,ortools_routing,30,1,3,588.323801,True,0,30.002248,3,588.32,0,0.000646,True,SINTEF VRPTW 100 customers
R101,ortools_routing,30,4,0,0.000000,False,100,30.002750,19,1650.80,-19,-100.000000,False,SINTEF VRPTW 100 customers
R102,ortools_routing,30,4,0,0.000000,False,100,30.002481,17,1486.12,-17,-100.000000,False,SINTEF VRPTW 100 customers
R103,ortools_routing,30,4,0,0.000000,False,100,30.003429,13,1292.68,-13,-100.000000,False,SINTEF VRPTW 100 customers
R104,ortools_routing,30,1,10,1019.995462,True,0,30.002331,9,1007.31,1,1.259340,False,SINTEF VRPTW 100 customers
R105,ortools_routing,30,4,0,0.000000,False,100,30.002645,14,1377.11,-14,-100.000000,False,SINTEF VRPTW 100 customers
R106,ortools_routing,30,4,0,0.000000,False,100,30.002653,12,1252.03,-12,-100.000000,False,SINTEF VRPTW 100 customers
R107,ortools_routing,30,1,11,1088.565813,True,0,30.002065,10,1104.66,1,-1.456936,False,SINTEF VRPTW 100 customers
R108,ortools_routing,30,1,10,1009.663095,True,0,30.001916,9,960.88,1,5.076919,False,SINTEF VRPTW 100 customers
R109,ortools_routing,30,1,13,1217.299932,True,0,30.002826,11,1194.73,2,1.889124,False,SINTEF VRPTW 100 customers
R110,ortools_routing,30,1,12,1098.258655,True,0,30.001686,10,1118.84,2,-1.839525,False,SINTEF VRPTW 100 customers
R111,ortools_routing,30,1,11,1149.511044,True,0,30.002494,10,1096.73,1,4.812583,False,SINTEF VRPTW 100 customers
R112,ortools_routing,30,1,10,994.168657,True,0,30.002259,9,982.14,1,1.224740,False,SINTEF VRPTW 100 customers
R201,ortools_routing,30,1,4,1325.574182,True,0,30.001702,4,1252.37,0,5.845252,True,SINTEF VRPTW 100 customers
R202,ortools_routing,30,1,4,1143.980680,True,0,30.002453,3,1191.70,1,-4.004306,False,SINTEF VRPTW 100 customers
R203,ortools_routing,30,1,3,977.583267,True,0,30.002016,3,939.50,0,4.053568,True,SINTEF VRPTW 100 customers
R204,ortools_routing,30,1,3,755.437875,True,0,30.001962,2,825.52,1,-8.489452,False,SINTEF VRPTW 100 customers
R205,ortools_routing,30,1,3,1102.376442,True,0,30.002102,3,994.43,0,10.855107,True,SINTEF VRPTW 100 customers
R206,ortools_routing,30,1,3,1010.173520,True,0,30.002050,3,906.14,0,11.480954,True,SINTEF VRPTW 100 customers
R207,ortools_routing,30,1,3,867.549668,True,0,30.002071,2,890.61,1,-2.589274,False,SINTEF VRPTW 100 customers
R208,ortools_routing,30,1,2,764.634436,True,0,30.004932,2,726.82,0,5.202724,True,SINTEF VRPTW 100 customers
R209,ortools_routing,30,1,3,1008.089999,True,0,30.002332,3,909.16,0,10.881473,True,SINTEF VRPTW 100 customers
R210,ortools_routing,30,1,4,942.437645,True,0,30.002134,3,939.37,1,0.326564,False,SINTEF VRPTW 100 customers
R211,ortools_routing,30,1,3,877.887654,True,0,30.004956,2,885.71,1,-0.883172,False,SINTEF VRPTW 100 customers
RC101,ortools_routing,30,4,0,0.000000,False,100,30.002273,14,1696.95,-14,-100.000000,False,SINTEF VRPTW 100 customers
RC102,ortools_routing,30,1,14,1518.240643,True,0,30.002014,12,1554.75,2,-2.348246,False,SINTEF VRPTW 100 customers
RC103,ortools_routing,30,1,13,1358.015701,True,0,30.002876,11,1261.67,2,7.636363,False,SINTEF VRPTW 100 customers
RC104,ortools_routing,30,1,11,1261.187006,True,0,30.002373,10,1135.48,1,11.070825,False,SINTEF VRPTW 100 customers
RC105,ortools_routing,30,4,0,0.000000,False,100,30.002338,13,1629.44,-13,-100.000000,False,SINTEF VRPTW 100 customers
RC106,ortools_routing,30,1,14,1428.994200,True,0,30.002187,11,1424.73,3,0.299299,False,SINTEF VRPTW 100 customers
RC107,ortools_routing,30,1,12,1347.567935,True,0,30.012446,11,1230.48,1,9.515631,False,SINTEF VRPTW 100 customers
RC108,ortools_routing,30,1,12,1210.171260,True,0,30.002210,10,1139.82,2,6.172138,False,SINTEF VRPTW 100 customers
RC201,ortools_routing,30,1,4,1551.932686,True,0,30.001935,4,1406.94,0,10.305534,True,SINTEF VRPTW 100 customers
RC202,ortools_routing,30,1,4,1303.258860,True,0,30.002541,3,1365.65,1,-4.568604,False,SINTEF VRPTW 100 customers
RC203,ortools_routing,30,1,4,989.335738,True,0,30.002489,3,1049.62,1,-5.743437,False,SINTEF VRPTW 100 customers
RC204,ortools_routing,30,1,3,835.514252,True,0,30.001839,3,798.46,0,4.640715,True,SINTEF VRPTW 100 customers
RC205,ortools_routing,30,1,5,1397.004584,True,0,30.005147,4,1297.65,1,7.656501,False,SINTEF VRPTW 100 customers
RC206,ortools_routing,30,1,4,1114.795251,True,0,30.002468,3,1146.32,1,-2.750083,False,SINTEF VRPTW 100 customers
RC207,ortools_routing,30,1,4,1073.703183,True,0,30.003106,3,1061.14,1,1.183933,False,SINTEF VRPTW 100 customers
RC208,ortools_routing,30,1,3,884.535562,True,0,30.001981,3,828.14,0,6.809907,True,SINTEF VRPTW 100 customers
